Сергей;Ткачев;СПбГУАП;Информационных систем и защиты информации;Безопасности информационных систем;23;6;5711;Санкт-Петербург
Василий;Пупкин;СПбГУ;Литературных гениев;Любителей почитать;18;1;1901;Санкт-Петербург
Артемий;Николаев;СПбГУКА;Ридиотехники и радиосистем;Радиотехники;19;2;1823;Санкт-Петербург
Николай;Сергеев;СПбГАСУ;Строительства;Гражданского строительства;20;3;1758;Санкт-Петербург
Артём;Захаров;СПбПУ;Техничекий;Прекрасная;21;3;1764;Санкт-Петербург
Лариса;Долина;ИТБИД;Коммуникативного дизайна;Кафедра искусств;18;1;1905;Санкт-Петербург
Алиса;Салий;СПХФУ;Промышленных технологий лекарств;Промышленной технологии лекарственных препаратов;22;5;3956;Санкт-Петербург
Василиса;Прекрасная;МГУ;Красоты и здоровья;Принцесс;23;6;1337;Москва
Роман;Важный;МФТИ;Важности физики;Физико-математическая;22;5;3645;Москва
Владимир;Игродельский;МАИ;Авиации;Авиационного строения;22;5;8800;Москва
Святостав;Петрович;ГАИ;Полиции;Автополиции;19;1;2280;Краснодар
Игорь;Младший;ТРУИ;Тварищества;Помощи;20;2;6475;Сочи
